# DExtra_Hosts.txt
# NO9S 02/19/2018
# The format of this file is the name of the reflector followed by its
# IP address or dns name.I prefer to have DNS name as then the changes are easier to keep up with
# when reporting changes to me add this information
# Some information may have been, at sometime, sourced from. Adrian vk4tux.

XRF000	xrf000.xreflector.org
OZ7REL	62.44.135.61 
OZ7RET	93.164.110.240 
OZ7RSP	5.103.134.188 
OZ8DSD	188.176.130.197 
OZ9AFZ	185.37.86.17 
OZ9DSD	94.145.143.202 
OZ9DST	77.213.119.177 
OZ9RED	85.129.63.225 
OZ9REL	94.138.78.78 
OZ9RET	2.105.135.12 
OZ9REZ	194.255.84.2 
PI1ALK	80.57.223.46 
PI1ALM	84.86.65.205 
PI1APD	194.109.64.194 
PI1BLD	80.101.93.96 
PI1BOZ	84.26.245.247 
PI1CJP	83.87.245.54 
PI1DAF	77.174.218.149 
PI1DEC	87.211.71.161 
PI1DGF	82.161.37.213 
PI1DHD	212.127.170.46 
PI1DRA	77.251.238.52 
PI1DSE	88.159.83.58 
PI1GLP	88.159.206.124 
PI1HGL	83.85.108.198 
PI1HHW	84.106.211.96 
PI1HNZ	84.104.222.181 
PI1HWB	213.125.243.158 
PI1KAN	80.101.217.2 
PI1KAR	77.249.140.119 
PI1KDN	77.163.174.208 
PI1MAA	84.26.56.187 
PI1MEP	77.249.4.31 
PI1NHN	109.33.239.57 
PI1NL	50.246.28.217 
PI1NYM	131.174.37.15 
PI1NYV	217.123.176.67 
PI1ORB	84.24.216.24 
PI1OSH	83.82.24.82 
PI1RYS	213.222.29.194 
PI1SHA	84.83.171.182 
PI1SNK	195.240.171.148 
PI1UTR	44.137.72.10 
PI1XDV	80.101.233.106 
PI1YBR	184.18.34.91 
PI1YMD	217.123.98.220 
PI1ZEE	77.175.145.58 
PI2ZLD	87.211.114.184 
PI3HGL	62.45.189.54 
PJ2A	190.112.246.172 
PJ2D	190.88.137.146 
PP6DIG	189.71.179.34 
PP6DV	189.71.190.237 
PY1CEU	201.17.71.199 
PY1EGR	187.78.173.87 
PY1GVK	187.78.173.87 
PY1GVN	187.78.173.87 
PY1LRP	200.218.244.185 
PY1MRA	179.210.153.29 
PY1MRD	192.100.229.56 
PY1MRE	186.228.82.115 
PY1RSU	186.228.82.115 
PY1UEB	179.210.8.222 
PY2KBH	191.254.165.156 
PY2KCA	187.32.126.2 
PY2KEP	177.45.173.152 
PY2KET	200.158.222.168 
PY2KJF	191.190.154.176 
PY2KMA	186.220.109.158 
PY2KMJ	191.136.152.59 
PY2KPP	200.168.70.125 
PY2KPR	179.186.117.201 
PY2KRG	179.34.231.175 
PY2KRJ	177.91.73.10 
PY2KRP	201.52.205.236 
PY3NOR	201.7.254.97 
PY4RCR	191.211.83.89 
PY4RFM	201.77.140.34 
PY4RHC	187.104.32.208 
PY4RJB	200.178.68.16 
PY4RPV	191.185.61.95 
PY4RSE	201.71.47.42 
PY7DIG	191.33.88.212 
PY7GFF	138.36.240.18 
PY7NJ	177.72.208.5 
RM3A	91.76.94.89 
RPT000	14.3.20.106 
S55DGO	149.62.65.16 
S55DLJ	193.77.169.245 
S55DMX	164.8.106.109 
S55DPI	84.255.240.243 
S55DZA	88.200.95.123 
SA2D	44.140.236.2 
SA3S	78.73.237.9 
SA5RG	2.71.55.240 
SA7M	77.244.225.232 
SB0K	213.112.193.201 
SB0X	81.232.168.108 
SB6B	176.10.140.161 
SC5SLU	90.236.64.36 
SD4C	81.232.145.64 
SD6GB	46.230.215.170 
SE0P	80.170.217.57 
SE0YOS	2.69.95.59 
SE2RHL	62.220.174.55 
SE3IVF	90.141.208.189 
SE3LDP	78.72.95.241 
SE3XCH	83.209.98.187 
SE6H	83.233.54.115 
SE7HZK	77.53.197.250 
SG0AMO	213.185.228.169 
SG0BAB	178.174.128.123 
SG0BON	217.215.85.17 
SG0CDE	94.254.48.165 
SG0NTM	83.226.179.31 
SG0POH	79.102.153.175 
SG0RPF	79.102.138.237 
SG0SMP	178.78.252.148 
SG0UAO	213.66.105.80 
SG0VKU	85.224.143.118 
SG0YOS	85.229.112.253 
SG2RHL	95.195.197.250 
SG2WSE	81.235.222.226 
SG3AHH	217.215.195.119 
SG3BDF	91.145.9.86 
SG3BDM	213.80.103.215 
SG3EFS	94.254.4.185 
SG3GDT	87.249.187.175 
SG3IVF	109.189.12.193 
SG3UXV	83.216.122.169 
SG3VEG	37.196.72.224 
SG4AXQ	81.224.180.221 
SG4AXV	62.20.204.169 
SG4BYH	81.226.208.145 
SG4JPK	90.144.173.55 
SG4KUH	85.89.70.152 
SG4MKF	78.69.109.173 
SG4OUF	2.248.69.156 
SG4Q	78.73.24.90 
SG4TYA	46.230.233.32 
SG4UOF	77.53.38.251 
SG4UZM	37.196.197.93 
SG4VBO	94.254.23.129 
SG4XEX	178.28.38.133 
SG4YPG	90.227.245.29 
SG5BJY	2.248.148.27 
SG5BMF	85.229.223.237 
SG5DV	85.227.70.138 
SG5EWE	180.191.106.3 
SG5EZN	95.195.56.139 
SG5RVH	78.70.208.148 
SG5SIK	81.235.139.67 
SG5TAH	78.70.204.201 
SG5UM	90.231.168.49 
SG6BNA	176.71.24.40 
SG6BWX	85.229.66.114 
SG6JWU	81.224.33.126 
SG6KUT	81.234.55.16 
SG6RHA	109.228.155.115 
SG6UDU	89.160.39.187 
SG6XGP	213.112.148.27 
SG7ADV	90.228.193.108 
SG7BIK	217.210.214.55 
SG7BKX	77.244.225.232 
SG7FLD	85.197.137.231 
SG7HTP	31.208.124.15 
SG7IKJ	62.20.176.218 
SG7NUM	85.230.96.86 
SG7PAT	62.20.176.218 
SG7SKI	90.232.61.68 
SG7TKS	95.195.24.162 
SG7VLL	85.30.140.101 
SG7WDL	85.224.98.49 
SG7YTC	85.224.78.212 
SI9AM	94.254.4.185 
SK0AI	37.123.157.248 
SK0BO	37.250.19.75 
SK0FR	83.251.218.67 
SK0JS	46.59.83.50 
SK0MQ	83.251.222.23 
SK0NU	213.80.99.172 
SK0PT	37.2.81.97 
SK0QO	95.209.158.218 
SK0RPF	85.224.143.104 
SK0VF	78.46.225.231 
SK2AT	80.244.89.169 
SK2HG	44.140.64.57 
SK2TP	195.196.136.6 
SK3BG	192.36.118.10 
SK3GA	62.63.228.105 
SK3GY	90.237.14.113 
SK3JR	46.230.185.80 
SK3KH	80.245.230.67 
SK3LH	46.230.233.3 
SK3PH	94.254.81.120 
SK3RET	91.145.9.157 
SK3RFG	44.140.96.134 
SK3RHU	62.63.229.181 
SK3RNJ	109.189.12.193 
SK3WH	92.32.214.193 
SK3XX	37.196.220.206 
SK4AO	90.231.54.216 
SK4BW	44.140.128.20 
SK4DE	89.233.248.231 
SK4NI	46.230.228.116 
SK4RKD	89.233.248.173 
SK5BN	193.14.12.246 
SK5LW	90.224.143.12 
SK5UM	78.70.204.147 
SK6BA	78.72.45.233 
SK6DZ	31.31.162.130 
SK6EP	81.230.199.160 
SK6IF	90.232.254.162 
SK6KA	91.214.88.152 
SK6LK	193.11.73.19 
SK6MA	2.68.108.30 
SK6QA	217.208.4.58 
SK6RIP	2.69.92.46 
SK6RKG	176.10.145.198 
SK6RKI	37.250.210.31 
SK6SA	81.231.68.98 
SK7DS	87.251.195.241 
SK7DX	85.197.168.166 
SK7ES	83.226.206.172 
SK7HW	37.2.118.54 
SK7JL	79.138.26.208 
SK7NU	37.123.177.209 
SK7RDS	46.230.239.7 
SK7RGM	46.195.177.87 
SK7RJL	77.53.204.122 
SK7RMQ	46.195.148.88 
SK7RNQ	85.30.164.129 
SK7RPQ	85.197.141.246 
SK7RQX	77.53.214.14 
SK7RRV	90.230.46.41 
SK7RSR	46.162.115.64 
SL2ZA	85.226.179.212 
SL5ZYT	44.140.163.21 
SL6ZAQ	2.69.66.156 
SL6ZD	83.252.33.184 
SM7I	83.226.205.168 
SQ5AGQ	share.sq5agq.net
SR1UVD	37.98.217.115 
SR1UVH	178.238.252.12 
SR1UVS	83.168.110.14 
SR1UVX	91.226.237.55 
SR1ZK	62.69.193.29 
SR2BX	193.188.198.121 
SR2GR	176.221.121.215 
SR2UVF	89.191.131.117 
SR2UVO	77.91.35.6 
SR2UVT	91.231.205.249 
SR2UVV	193.188.198.80 
SR2VVV	193.188.198.121 
SR3UVP	37.247.62.54 
SR4DG	185.103.153.5 
SR4KT	83.12.19.77 
SR4MI	213.73.1.102 
SR4MR	89.229.112.15 
SR4SWE	83.12.21.1 
SR4UG	91.229.88.192 
SR4UVD	185.103.153.5 
SR4UVE	83.25.234.119 
SR4UVM	213.73.1.102 
SR4UVN	213.73.1.101 
SR4VVQ	176.97.253.7 
SR5GM	82.160.51.73 
SR5RK	77.252.253.196 
SR5SQ	77.255.245.185 
SR5UVA	83.19.6.244 
SR5WC	195.137.246.150 
SR5WW	83.31.149.116 
SR5WZ	195.137.246.150 
SR5YAM	193.192.62.74 
SR5ZQ	82.160.51.73 
SR6AA	89.79.226.112 
SR6UKB	88.81.82.191 
SR6UPK	88.199.82.70 
SR6UVO	79.190.179.186 
SR6UVW	213.216.70.228 
SR6UVX	213.199.207.199 
SR6UVY	109.207.54.37 
SR6UWS	78.88.200.123 
SR6WB	95.143.241.86 
SR6WS	88.199.82.79 
SR7AL	83.29.12.42 
SR7SC	93.105.17.236 
SR7UAL	83.29.162.127 
SR7ULD	79.191.159.135 
SR7ULM	217.113.226.137 
SR7USC	93.105.207.178 
SR7USI	88.156.77.184 
SR7UTM	176.221.105.50 
SR7UVV	80.53.157.106 
SR7UWI	31.41.137.224 
SR8UD	213.136.248.97 
SR8UKS	78.11.38.223 
SR8UVL	46.21.222.34 
SR8UVP	212.2.124.234 
SR8UWD	5.226.117.26 
SR9AD	78.11.185.131 
SR9BN	83.142.218.188 
SR9DBN	46.77.90.68 
SR9NJ	194.15.121.98 
SR9SZ	89.78.129.144 
SR9UCZ	87.239.183.173 
SR9UV	176.112.78.254 
SR9UVC	91.231.60.95 
SR9UVJ	176.111.31.31 
SR9UVK	89.64.218.61 
SR9UVP	77.113.65.68 
SR9UVR	193.242.212.14 
SR9UVT	93.159.188.186 
SR9UVU	46.151.19.250 
SR9VVO	89.234.225.126 
SV1O	194.219.40.134 
SV1P	194.219.40.101 
SV1Y	5.172.204.150 
SV2H	46.12.65.182 
SV2K	141.237.72.107 
SV2O	46.103.189.6 
SV2Q	94.69.26.199 
SV3G	77.69.6.142 
SV4J	94.67.61.187 
SV4M	195.130.75.225 
SV8S	80.106.196.187 
SV8Z	94.64.244.77 
SW1I	178.59.23.138 
SW1J	178.59.23.138 
SZ1A	85.72.32.183 
SZ1SV	212.54.194.75 
SZ7SER	79.103.210.38 
SZ9ERK	176.92.164.170 
T79DV	77.242.220.247 
TK1ZAR	81.56.157.35 
UR0DSD	195.128.182.242 
UR0DUA	195.225.231.242 
UR0DUB	213.179.252.228 
UR0DUC	31.41.95.18 
UR0DUD	91.195.172.150 
UR0UDS	31.43.129.125 
V53W	41.63.247.109 
VA2BQ	74.210.228.242 
VA2FPI	216.239.88.127 
VA2LX	45.42.113.21 
VA2REH	184.151.112.119 
VA2RIU	135.19.9.124 
VA2RMP	192.81.15.13 
VA2RVB	65.92.223.92 
VA3AAR	209.87.226.58 
VA3AIT	70.55.29.91 
VA3EDG	108.170.164.130 
VA3FS	24.36.251.244 
VA3HOA	65.93.111.135 
VA3IBA	23.233.113.52 
VA3ITL	99.248.136.17 
VA3JJA	74.14.37.36 
VA3MCU	70.31.175.25 
VA3ODH	76.64.191.215 
VA3ORN	76.64.204.42 
VA3PMO	208.124.214.226 
VA3RDD	142.114.96.105 
VA3SDG	72.38.79.206 
VA3SLU	174.119.240.66 
VA3URU	67.210.212.144 
VA3WDG	70.49.97.81 
VA3YYZ	173.238.192.124 
VA5DR	128.233.238.66 
VA5EIS	44.135.130.2 
VA6ACW	68.147.141.84 
VA6EFR	75.152.112.98 
VA6JHS	70.73.223.28 
VA6MEO	98.158.124.37 
VA6SRG	162.157.81.197 
VA6XG	96.52.49.0 
VA7DSR	184.66.1.172 
VA7DXH	154.20.57.42 
VA7GQ	24.207.55.178 
VA7ICM	206.116.12.63 
VA7VIC	184.66.1.172 
VA7WHI	206.172.6.228 
VE1DNR	156.57.17.176 
VE1DSR	71.7.138.69 
VE1JSR	71.7.131.237 
VE1UHF	142.68.243.105 
VE2CSA	64.18.76.171 
VE2QE	70.50.46.184 
VE2REG	137.175.224.141 
VE2REH	74.57.224.39 
VE2RHH	67.68.20.55 
VE2RKL	70.26.255.92 
VE2RM	206.248.137.110 
VE2RVI	74.210.212.157 
VE2SEW	184.148.216.35 
VE2SKG	74.210.130.99 
VE2VPS	66.159.41.113 
VE2VPS	66.159.41.113
VE2VYZ	135.19.172.30 
VE2YUU	70.54.160.205 
VE3AZX	108.170.145.193 
VE3BFH	192.95.217.140 
VE3DSL	208.114.155.82 
VE3EBX	174.112.63.79 
VE3ELF	72.39.17.239 
VE3ENH	64.231.5.109 
VE3FCD	216.58.7.108 
VE3FSR	174.95.147.206 
VE3HJ	142.46.249.132 
VE3HXP	64.179.223.211 
VE3ILN	99.239.133.242 
VE3LEO	99.248.5.2 
VE3LNK	72.38.97.138 
VE3LSR	208.80.97.190 
VE3NMN	97.107.56.92 
VE3NUU	216.221.64.241 
VE3OBP	24.226.125.248 
VE3ORC	99.237.225.109 
VE3PLF	76.10.128.37 
VE3QSB	70.27.135.246 
VE3RPT	24.138.113.81 
VE3RSD	70.50.40.97 
VE3RTR	76.75.119.187 
VE3SIP	76.10.165.130 
VE3SRY	76.64.207.135 
VE3STP	64.231.5.109 
VE3UHF	99.251.117.10 
VE3URU	50.101.83.254 
VE3VXZ	65.94.59.188 
VE3WIK	24.150.102.2 
VE3WWD	216.46.157.36 
VE3XXL	96.63.29.199 
VE3YRK	24.138.105.164 
VE3YTS	69.60.243.92 
VE3YYZ	206.248.184.50 
VE5DRR	24.72.16.157 
VE5MBX	142.165.246.46 
VE5RAD	192.34.225.244 
VE5UFO	207.47.253.107 
VE6BHX	174.3.23.15 
VE6BWL	70.73.223.28 
VE6CWK	207.228.78.171 
VE6GHZ	96.51.224.167 
VE6IPG	68.145.206.48 
VE6JKB	108.181.157.83 
VE6MHD	209.89.197.39 
VE6VOA	70.72.243.106 
VE6WRE	68.146.233.232 
VE6WRO	142.179.148.196 
VE7MDD	207.216.6.180 
VE7RES	184.70.240.254 
VE7SUN	24.207.0.137 
VK2HK	dstar.vk2hk.net
VK2HL	nbtv.com.au
VK2ROZ	110.174.20.47 
VK4RBD	vk4rbd.dyndns.org
VK4RBY	120.157.50.233 
VK4RCN	44.136.152.44 
VK4RUS	vk4rus.ham-radio-op.net
VK4TUX	vk4tux.duckdns.org
VK7RMD	14.2.187.141 
VY2DSR	96.30.167.7 
W4CCA	73.7.116.209 
W5MEL	68.12.188.93 
W5SLA	71.12.241.230 
W7AI	75.146.134.20 
W9DIG	50.165.135.39 
W9MWC	12.188.149.194 
WI8DX	184.58.20.34 
WW9P	70.194.139.2 
XE2ITB	187.143.206.25 
YD0ZUB	115.178.216.69 
YO6KAF	213.233.64.161 
ZL1KFM	zl1kfm.asuscomm.com
ZL2ARN	zl2arn.dyndns.org
ZL2DRN	219.88.73.41 
ZL2HBD	202.137.242.207 
ZL2KB	131.203.251.134
ZL2NSA	zl2nsa.ddns.net
ZL2TWS	zl2tws.ddns.net
ZL2TWT	zl2twt.ddns.net
ZS0HAC	105.227.95.136 
ZS6TJ	196.210.62.52 
